menu,review,sentiment,compound_score
samgyeopsal,love sundubu jigae taste flavor rich __tteokbokki__ good alsowe order __samgyeopsal__ free chicken tag instagram account meat tender juicylove place,positive,0.9325
tteokbokki,love sundubu jigae taste flavor rich __tteokbokki__ good alsowe order __samgyeopsal__ free chicken tag instagram account meat tender juicylove place,positive,0.9325
bulgogi,samgyopsal __bulgogi__ good chicken kinda taste wierd not know seasoning chicken quality consider quality control meat overall good definitly later,positive,0.7003
kimchi jjigae,restoran korea recommend dish soondubu jigae tofu soup __kimchi jjigae__,positive,0.3612
japchae,korean restaurant authentic comfortable food delicious grill meat season not taste good overall delicious like play goldfinch try recommend dish tofu soup __japchae__,positive,0.9402
bulgogi,good food good servicethe place clean tidy service good waiter alert fast dish not long come table not eat okay la carte restaurant order accord menuorder kind meat samgyup woo __bulgogi__ taebokki __japchae__ __odeng__ rice ocha plus add veggie set lettuce ssamjang chili sauce chili sauce delicious bakecook overall satisfied meat soft especially mix ssamjang chili sauce good,positive,0.9795
japchae,good food good servicethe place clean tidy service good waiter alert fast dish not long come table not eat okay la carte restaurant order accord menuorder kind meat samgyup woo __bulgogi__ taebokki __japchae__ __odeng__ rice ocha plus add veggie set lettuce ssamjang chili sauce chili sauce delicious bakecook overall satisfied meat soft especially mix ssamjang chili sauce good,positive,0.9795
odeng,good food good servicethe place clean tidy service good waiter alert fast dish not long come table not eat okay la carte restaurant order accord menuorder kind meat samgyup woo __bulgogi__ taebokki __japchae__ __odeng__ rice ocha plus add veggie set lettuce ssamjang chili sauce chili sauce delicious bakecook overall satisfied meat soft especially mix ssamjang chili sauce good,positive,0.9795
japchae,food delicious place cozy clean affordable price staff alert calledthe spice penetrate perfectly meatmandatory menuwoo samgyup marinate spicy marinate samgyeop sal non halal soondubu jigae prawn good __japchae__ endeuss __dakgangjeong__ good not forget order oksusu cha korean ocha,positive,0.9599
dakgangjeong,food delicious place cozy clean affordable price staff alert calledthe spice penetrate perfectly meatmandatory menuwoo samgyup marinate spicy marinate samgyeop sal non halal soondubu jigae prawn good __japchae__ endeuss __dakgangjeong__ good not forget order oksusu cha korean ocha,positive,0.9599
japchae,korean bbq restaurant clean comfortable bright air temperature right staff service friendly alert calledgood quality meat great taste reasonable price great kimchi champion __japchae__suggestion add dish hehee,positive,0.9786
kimchi jjigae,delicious honestly good __kimchi jjigae__ ve ve repeat menu order time __kimchi jjigae__ marinate __samgyeopsal__ try thank later,positive,0.9022
samgyeopsal,delicious honestly good __kimchi jjigae__ ve ve repeat menu order time __kimchi jjigae__ marinate __samgyeopsal__ try thank later,positive,0.9022
odeng,nice meat marinate right inside __odeng__ delicious server good close let eat ill,positive,0.765
budae jjigae,food delicious __budae jjigae__ delicious restaurant atmosphere comfortable d,positive,0.8934
odeng,sundubu delicious tteobokki sooo __odeng__ soooo,positive,0.5719
kimchi jjigae,order __kimchi jjigae__ __samgyeopsal__ plus rice drink person portion huh price portion normal person k taste good rain kimchi standard call comfort food warm sour broth like,positive,0.8316
samgyeopsal,order __kimchi jjigae__ __samgyeopsal__ plus rice drink person portion huh price portion normal person k taste good rain kimchi standard call comfort food warm sour broth like,positive,0.8316
bulgogi,row shophouse want eat grill meat usually ayce stop korean food menu ala carte taste decentbecause like sundubu jjigae menu korean restaurant definitely try soup not include rice order sister order tteokpokki like open free meat promo purchase meatsoup rice drink try spicy dak __bulgogi__ marinated chicken overall taste seasoning tend light big korean restaurant term texture stop serve tender marinate go tteokpokki texture chewy tender delicious seasoning not good salty visit want try grill meat,negative,0.8589
kimchi jjigae,opinion __kimchi jjigae__ tasty reallylovelovelove,neutral,0.0
